,index,date,time,tweet,language,parse,Category
55,55,25/02/2022,23:39:32,please 😥 unitednations ukraineunderattack ukraine ukrainerussia worldwar3 unitednations putin wwiii worldwar3,en,please 😥 unitednations ukraineunderattack ukraine ukrainerussia worldwar3 unitednations putin wwiii worldwar3,_
56,56,25/02/2022,23:39:25,people doubts god difficult times 🤦🏾‍️ davido wizkid ukraine 🇺🇦 russia 🇷🇺 wwiii wwiii,en,people doubts god difficult times 🤦🏾‍️ davido wizkid ukraine 🇺🇦 russia 🇷🇺 wwiii wwiii,_
57,57,25/02/2022,23:39:23,got money wars can't feed poor 💔 🇺🇦 💔 wwiii stopthewar stopputin russiaukraineconflict ukrainewar ukrainerussiacrisis nowar russia,en,got money wars can't feed poor 💔 🇺🇦 💔 wwiii stopthewar stopputin russiaukraineconflict ukrainewar ukrainerussiacrisis nowar russia,_
58,58,25/02/2022,23:38:58,"ukrainians proud leader man offered evacuated us responded need ammunition, ride putin russia thought would easy take ukraine, think wwiii ukrainerussia russianinvasion",en,"ukrainians proud leader man offered evacuated us responded need ammunition, ride putin russia thought would easy take ukraine, think wwiii ukrainerussia russianinvasion",_
59,59,25/02/2022,23:38:57,makes really difficult come together nation former president members gop praise putingoptraitorstodemocracy gopbetrayedamerica trumpisarussianasset putinisawarcriminal istandwithukraine wwiii here… takeoutputin,en,makes really difficult come together nation former president members gop praise putingoptraitorstodemocracy gopbetrayedamerica trumpisarussianasset putinisawarcriminal istandwithukraine wwiii here… takeoutputin,_
60,60,25/02/2022,23:38:41,"williamzambezi spectatorindex wwiii making zvadhakwa,let's see laugh",en,"williamzambezi spectatorindex wwiii making zvadhakwa,let's see laugh",_
61,61,25/02/2022,23:37:43,"sensex slips 1,400 points putin orders troops ukraine wwiii worldwar3 worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukrainewar ukraineunderattack ukrainewar russianinvasion ukrainerussia ukraineinvasion",en,"sensex slips 1,400 points putin orders troops ukraine wwiii worldwar3 worldwariii ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukrainewar ukraineunderattack ukrainewar russianinvasion ukrainerussia ukraineinvasion",_
62,62,25/02/2022,23:37:21,hurting 💔💔💔say war 👍 wwiii russiaukrainewar russiaukraine warinukraine worldwariii worldwar3,en,hurting 💔💔💔say war 👍 wwiii russiaukrainewar russiaukraine warinukraine worldwariii worldwar3,_
63,63,25/02/2022,23:37:06,trends ukraine palestine double standards worldwariii wwiii wwiii war,en,trends ukraine palestine double standards worldwariii wwiii wwiii war,_
64,64,25/02/2022,23:36:45,amya_press heartbreaking pray world🙏🏽🌎 wwiii,en,amya_press heartbreaking pray world🙏🏽🌎 wwiii,_
65,65,25/02/2022,23:36:25,"courage face,🏅 worldwar3 wwiii ukraine russiaukraineconflict russia russiaukrainewar",en,"courage face,🏅 worldwar3 wwiii ukraine russiaukraineconflict russia russiaukrainewar",_
66,66,25/02/2022,23:35:57,"support ukraine palestine syria lebanon iraq condemn russia israel us congratulations mate, highest tier hypocrisy rtagree russiaukraineconflict worldwar3 wwiii",en,"support ukraine palestine syria lebanon iraq condemn russia israel us congratulations mate, highest tier hypocrisy rtagree russiaukraineconflict worldwar3 wwiii",_
67,67,25/02/2022,23:35:52,worldwar3 worldwariii wwiii putin russia ukraine,en,worldwar3 worldwariii wwiii putin russia ukraine,_
68,68,25/02/2022,23:35:49,"nato america take military action weak countries, sanction affect russia years, matter putin nato alliance america left ukraine alone difficult time putin russia ukraine wwiii zelenskiy kiyev nato crisis",en,"nato america take military action weak countries, sanction affect russia years, matter putin nato alliance america left ukraine alone difficult time putin russia ukraine wwiii zelenskiy kiyev nato crisis",_
69,69,25/02/2022,23:35:22,🙏🏽🇺🇦 russian captive speaks parents ukraine ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,en,🙏🏽🇺🇦 russian captive speaks parents ukraine ukraine ukrainerussia ukraineinvasion ukrainerussiacrisis ukraineunderattack worldwar3 worldwariii wwiii,_
70,70,25/02/2022,23:34:53,throw uniform putin make one one wwiii,en,throw uniform putin make one one wwiii,_
71,71,25/02/2022,23:34:52,conflict started best course end early world shall convince russia restrct donetsk luhansk regions leave rest ukrain exchange relief sanctions normalisation ukraineconflict wwiii europe nato usa uno,en,conflict started best course end early world shall convince russia restrct donetsk luhansk regions leave rest ukrain exchange relief sanctions normalisation ukraineconflict wwiii europe nato usa uno,_
72,72,25/02/2022,23:34:45,russiaukraine war live indians evacuated reach mumbai 4 pm wwiii worldwar3 worldwariii ukraine ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukraineconflict russiaukraine russiaukrainewar ukrainecrisis,en,russiaukraine war live indians evacuated reach mumbai 4 pm wwiii worldwar3 worldwariii ukraine ukrainerussiacrisis ukraineconflict russiaukraineconflict russiaukraineconflict russiaukraine russiaukrainewar ukrainecrisis,_
73,73,25/02/2022,23:34:00,"nonmilitary, civvie crowd y'all cry havoc wwiiiww3 standard ""acceptable losses"" per cdnnato stds operation able continuebe deemed ""successful"" begin around 20% deployed forcecollateral population 2",en,"nonmilitary, civvie crowd y'all cry havoc wwiiiww3 standard ""acceptable losses"" per cdnnato stds operation able continuebe deemed ""successful"" begin around 20% deployed forcecollateral population 2",_
74,74,25/02/2022,23:33:16,close destruction way life imagine trump succeeded ukraine nato wwiii looks like trump rubbed putin thought always brings best everyone btw mikeflynn,en,close destruction way life imagine trump succeeded ukraine nato wwiii looks like trump rubbed putin thought always brings best everyone btw mikeflynn,_
75,75,25/02/2022,23:32:32,"truth putin started wwiii, hes going go ukraine surrounding countries told us hes going swedense finlandineu nato, potus whitehouse senatedems housedemocrats dnc enough, need act now, months frm",en,"truth putin started wwiii, hes going go ukraine surrounding countries told us hes going swedense finlandineu nato, potus whitehouse senatedems housedemocrats dnc enough, need act now, months frm",_
76,76,25/02/2022,23:31:52,favor war atrocities committed nato still injustice accounted wwiii worldwar3 putin ukrainerussia,en,favor war atrocities committed nato still injustice accounted wwiii worldwar3 putin ukrainerussia,_
77,77,25/02/2022,23:31:01,big still office shit even going right wwiii,en,big still office shit even going right wwiii,_
78,78,25/02/2022,23:29:38,never forget islamic world 💔 arab palestine syria uyghurs wwiii ww3 iraq irak yemen,en,never forget islamic world 💔 arab palestine syria uyghurs wwiii ww3 iraq irak yemen,_
79,79,25/02/2022,23:29:27,us werent ahead yall behind youve woken late face repercussions due ignorance covid19 ww3 wwiii,en,us werent ahead yall behind youve woken late face repercussions due ignorance covid19 ww3 wwiii,_
80,80,25/02/2022,23:29:07,like arguing mother wwiii,en,like arguing mother wwiii,_
81,81,25/02/2022,23:28:34,germany eagerly awaiting 😍 wwiii,en,germany eagerly awaiting 😍 wwiii,_
82,82,25/02/2022,23:28:21,words ukraine wwiii,en,words ukraine wwiii,_
83,83,25/02/2022,23:28:16,meta company owning facebook moving bar russia running ads platformsrussiaukraineconflict wwiii unitedwithukraine sttacin robertalai,en,meta company owning facebook moving bar russia running ads platformsrussiaukraineconflict wwiii unitedwithukraine sttacin robertalai,_
84,84,25/02/2022,23:27:23,god bless ukrainian heroes 🙄🙄🙄🙄🙄🙄 ukraineinvasion ukrainewar wwiii,en,god bless ukrainian heroes 🙄🙄🙄🙄🙄🙄 ukraineinvasion ukrainewar wwiii,_
85,85,25/02/2022,23:27:14,usa real threat world russiaukraineconflict unitednations wwiii nato unsc,en,usa real threat world russiaukraineconflict unitednations wwiii nato unsc,_
86,86,25/02/2022,23:27:12,wwiii nato gets involved,en,wwiii nato gets involved,_
87,87,25/02/2022,23:27:05,russiachina partnership russiaindia currency deal pakistan germany france somehow involved chinanorth korea possibly signaling attack taiwan canada almost gone full communist party us border patrol told beware targeted assassinations wwiii,en,russiachina partnership russiaindia currency deal pakistan germany france somehow involved chinanorth korea possibly signaling attack taiwan canada almost gone full communist party us border patrol told beware targeted assassinations wwiii,_
88,88,25/02/2022,23:26:51,masculinitysaturday worldwar3 state house ukraine wwiii bidenisadisgrace closethesky,en,masculinitysaturday worldwar3 state house ukraine wwiii bidenisadisgrace closethesky,_
