,tweet,parse
608,"@LOVREGA Defiendes a gatell porque está directamente involucrado con lópez, es una extensión de el mismo sin voluntad propia. Y a Marcelo lo atacas porque está probado que se puede independizar a voluntad de andrés. Sacudirselo si Marcelo lo desea. Es una amenaza para para @lopezobrador_","@LOVREGA Defiendes a gatell porque está directamente involucrado con lópez, es una extensión de el mismo sin voluntad propia. Y a Marcelo lo atacas porque está probado que se puede independizar a voluntad de andrés. Sacudirselo si Marcelo lo desea. Es una amenaza para para @lopezobrador_"
609,@albertsand1 @Fco_Glez_ @monicagarzag @julioastillero Todo es culpa de Gatell!,@albertsand1 @Fco_Glez_ @monicagarzag @julioastillero Todo es culpa de Gatell!
610,"@LOVREGA Fui a una fiesta y adquirí Covid ¿Es culpa de Gatell? La persona que estaba contagiada le dijeron que no tenían pruebas que se regresara a su casa, puesto que era asintomático.","@LOVREGA Fui a una fiesta y adquirí Covid ¿Es culpa de Gatell? La persona que estaba contagiada le dijeron que no tenían pruebas que se regresara a su casa, puesto que era asintomático."
611,El PAN respalda a Cienfuegos Los mexicanos respaldamos a López Gatell 💪 ,El PAN respalda a Cienfuegos Los mexicanos respaldamos a López Gatell 💪 
612,"@V_TrujilloM @avieu INAUDITO ‼️‼️‼️‼️ Es tanto el EGO de este señor que todo lo gira a: ‘nuestros adversarios’ ... y la vida de la gente QUEEEEEE⁉️ Cuando hablara de sus familias, de los apoyos, de la estrategia❓... y todavía remata aplaudiendo a #Gatell 😤","@V_TrujilloM @avieu INAUDITO ‼️‼️‼️‼️ Es tanto el EGO de este señor que todo lo gira a: ‘nuestros adversarios’ ... y la vida de la gente QUEEEEEE⁉️ Cuando hablara de sus familias, de los apoyos, de la estrategia❓... y todavía remata aplaudiendo a #Gatell 😤"
613,@monicagarzag !pinchi Gatell! ! Que responda por tanto empujón!,@monicagarzag !pinchi Gatell! ! Que responda por tanto empujón!
614,"Hoy en el show de la mañanera dijo López: 100 mil decesos pero ... Por que tenemos que cambiar de estrategia, no les daremos el gusto a mis adversarios, nos critícan por que no nos quieren los corruptos. Y aseguró que Gatell es excelente haciendo su chamba: Pero como ... ","Hoy en el show de la mañanera dijo López: 100 mil decesos pero ... Por que tenemos que cambiar de estrategia, no les daremos el gusto a mis adversarios, nos critícan por que no nos quieren los corruptos. Y aseguró que Gatell es excelente haciendo su chamba: Pero como ... "
615,"@SenadoresdelPAN Mejor digan que no quieren legalizarlas, porque también se incluyen en este negocio, armas y prostitución, negocio redondo para ustedes. Queremos sean legales (TODAS) y la gente decidirá que se mete o no, los papás tendrán que informar y cuidar a sus hijos, dedíquenles tiempo.","@SenadoresdelPAN Mejor digan que no quieren legalizarlas, porque también se incluyen en este negocio, armas y prostitución, negocio redondo para ustedes. Queremos sean legales (TODAS) y la gente decidirá que se mete o no, los papás tendrán que informar y cuidar a sus hijos, dedíquenles tiempo."
616,"@hzagal @ralexandermp @lopezobrador_ @EPN Efectivamente doctor, no veo a todos los quejosos que quieren quemar en leña verde a Gatell querer quemar a las autoridades sanitarias de españa,francia e Inglqterra, nuestra tasa per capita de mortalidad es casi la misma , lo cual es milagroso viendo el valemadrismo mexicano","@hzagal @ralexandermp @lopezobrador_ @EPN Efectivamente doctor, no veo a todos los quejosos que quieren quemar en leña verde a Gatell querer quemar a las autoridades sanitarias de españa,francia e Inglqterra, nuestra tasa per capita de mortalidad es casi la misma , lo cual es milagroso viendo el valemadrismo mexicano"
617,Me da un repele horrible ver que defienden a Gatell _y a cualquier funcionario público_ como si su trabajo ha sido super ejemplar.,Me da un repele horrible ver que defienden a Gatell _y a cualquier funcionario público_ como si su trabajo ha sido super ejemplar.
618,"Porque no le sabe MORENA, destruyeron el Seguro Pop. que tenía una estructura más eficiente, porque Gatell es un ignorante y quiere ser artista.PORQUE TENEMOS UN PRESIDENTE QUE NO LE IMPORTA MÁS Q LO SUYO, NO DA EL EJEMPLO DE USAR CUBREBOCAS Y HACERLO OBLIGATORIO EN LUGARES PUB.","Porque no le sabe MORENA, destruyeron el Seguro Pop. que tenía una estructura más eficiente, porque Gatell es un ignorante y quiere ser artista.PORQUE TENEMOS UN PRESIDENTE QUE NO LE IMPORTA MÁS Q LO SUYO, NO DA EL EJEMPLO DE USAR CUBREBOCAS Y HACERLO OBLIGATORIO EN LUGARES PUB."
619,#Gatell Gatell ,#Gatell Gatell 
620,"@LOVREGA Un amigo me comentó lo mismo y, pues le dije que obvio no, hasta que me enteré que la fiesta la había organizado Gatell.","@LOVREGA Un amigo me comentó lo mismo y, pues le dije que obvio no, hasta que me enteré que la fiesta la había organizado Gatell."
621,@EmmaChoquita Al 100% Gatell,@EmmaChoquita Al 100% Gatell
622,"@lopezdoriga El mecanismo de confrontación Sr Gatell, no es precisamente por la pandemia” (eso ya lo sabemos de antemano)!... La confrontación es por sus endejadas, sandeces, ocurrencias”, por su falta de seriedad, compromiso, por su actitud inmoral, poco ética..... A eso referimos !! 😠","@lopezdoriga El mecanismo de confrontación Sr Gatell, no es precisamente por la pandemia” (eso ya lo sabemos de antemano)!... La confrontación es por sus endejadas, sandeces, ocurrencias”, por su falta de seriedad, compromiso, por su actitud inmoral, poco ética..... A eso referimos !! 😠"
623,"@V_TrujilloM @avieu Esta enamorado de Gatell este cabron, es imposible que con esos números salgas a defender lo indefendible. Dicen que cada cabeza es un mundo 🌍, pues el mundo de ese cabron está deshabitado.","@V_TrujilloM @avieu Esta enamorado de Gatell este cabron, es imposible que con esos números salgas a defender lo indefendible. Dicen que cada cabeza es un mundo 🌍, pues el mundo de ese cabron está deshabitado."
624,"Mr Gatell, congratulations, and You sleep good???? ","Mr Gatell, congratulations, and You sleep good???? "
625,"@leozuckermann @HLGatell 1/2 Mas de 100,000 muertos. En México, por culpa de AMLO y el Dr. Muerte Gatell, diario se infectan mas de 4500 personas, y cada día mueren mas de 500. Para ejemplo de un manejo correcto, Nueva Zelanda: lleva 25 muertos en toda la pandemia, el último falleció el 17 de septiembre","@leozuckermann @HLGatell 1/2 Mas de 100,000 muertos. En México, por culpa de AMLO y el Dr. Muerte Gatell, diario se infectan mas de 4500 personas, y cada día mueren mas de 500. Para ejemplo de un manejo correcto, Nueva Zelanda: lleva 25 muertos en toda la pandemia, el último falleció el 17 de septiembre"
626,"A la oposicion solo les falta decir que Gatell y AMLO crearon el #Covid19 en Tabasco. No la chinguen de todo los culpan, hasta del desmadre que hicierom. ","A la oposicion solo les falta decir que Gatell y AMLO crearon el #Covid19 en Tabasco. No la chinguen de todo los culpan, hasta del desmadre que hicierom. "
627,@EmmaChoquita Al 100 con López Gatell En cambio a @CiroGomezL le deseo que se vaya al carajo. Chayotero sinvergüenza,@EmmaChoquita Al 100 con López Gatell En cambio a @CiroGomezL le deseo que se vaya al carajo. Chayotero sinvergüenza
628,@JosefinaSLP @OSWALDORIOSM @HLGatell Es increible lo que dice este sr. Verdaderos investigadores y Médicos desde marzo informaron lo grave que sería esta situación si no se tomaban medidas urgentes y a gatell y sus expertos no les importo. No puede ser que este loco diga eso. ,@JosefinaSLP @OSWALDORIOSM @HLGatell Es increible lo que dice este sr. Verdaderos investigadores y Médicos desde marzo informaron lo grave que sería esta situación si no se tomaban medidas urgentes y a gatell y sus expertos no les importo. No puede ser que este loco diga eso. 
629,"@hdemauleon @SergioSarmiento ""Como anillo al dedo."" Ya ven. Por otra parte, ustedes defienden la actitud mezquina de Ricardo Salinas Pliego con respecto al #Covid_19mx ¿No es una incongruencia? 🤪 Gatell Alfonso Romo","@hdemauleon @SergioSarmiento ""Como anillo al dedo."" Ya ven. Por otra parte, ustedes defienden la actitud mezquina de Ricardo Salinas Pliego con respecto al #Covid_19mx ¿No es una incongruencia? 🤪 Gatell Alfonso Romo"
630,"La gestión de Hugo López Gatell leva 100 mil muertos por Coronavirus, a esto López le llamo excelente trabajo, imaginen la vara con lo que mide lo demás. #DrMuerte #NosFaltan100mil #SonMasDe100mil","La gestión de Hugo López Gatell leva 100 mil muertos por Coronavirus, a esto López le llamo excelente trabajo, imaginen la vara con lo que mide lo demás. #DrMuerte #NosFaltan100mil #SonMasDe100mil"
