,index,date,time,tweet,language,parse,Category
2032,2032,26/02/2022,02:53:13,mtvne slg__x piersmorgan yes pointannouncing intend launch surprise first strike engages knowing second strike capabilities makes little sense calling natos bluff showing cards isnt winning strategy game thermonuclear poker,en,mtvne slg__x piersmorgan yes pointannouncing intend launch surprise first strike engages knowing second strike capabilities makes little sense calling natos bluff showing cards isnt winning strategy game thermonuclear poker,_
2033,2033,26/02/2022,02:52:37,somethingbetterthansex fighting lot better sex therell nobody left sex standwithukriane standwithukraine stoprussia stopputin putinisawarcriminal,en,somethingbetterthansex fighting lot better sex therell nobody left sex standwithukriane standwithukraine stoprussia stopputin putinisawarcriminal,_
2034,2034,26/02/2022,02:52:31,hypocracy west,en,hypocracy west,_
2035,2035,26/02/2022,02:52:14,abcnews sort madman give hos untrained civilians assault rifle encourage fight army outnumbers army double option simply joining madman,en,abcnews sort madman give hos untrained civilians assault rifle encourage fight army outnumbers army double option simply joining madman,_
2036,2036,26/02/2022,02:51:33,photo real historians write official started ουκρανία,en,photo real historians write official started ουκρανία,_
2037,2037,26/02/2022,02:50:48,looking teacher told happen water,en,looking teacher told happen water,_
2038,2038,26/02/2022,02:50:29,play codm youre soldier changing clip codm changing real life start learning unalive drafting comes,en,play codm youre soldier changing clip codm changing real life start learning unalive drafting comes,_
2039,2039,26/02/2022,02:49:51,two different conflicts similar moment despair crowds tried push baby safety train similar moment also took place afghanistan 2021 baby handed soldiers ukraina stopwar,en,two different conflicts similar moment despair crowds tried push baby safety train similar moment also took place afghanistan 2021 baby handed soldiers ukraina stopwar,_
2040,2040,26/02/2022,02:49:31,preventing whole worst brutal could sparked invasion soil finland sweden,en,preventing whole worst brutal could sparked invasion soil finland sweden,_
2041,2041,26/02/2022,02:48:31,leaders trying convince attacking rockets artillery aviation strikes fools lied standwithukriane propagandalive,en,leaders trying convince attacking rockets artillery aviation strikes fools lied standwithukriane propagandalive,_
2042,2042,26/02/2022,02:47:40,naona chinese boys wanaenda put jogging pants ready,en,naona chinese boys wanaenda put jogging pants ready,_
2043,2043,26/02/2022,02:47:27,modidisasterforindia modisfailedforeignpolicy day3 stoprussianaggression listen careless modiji zoo_bear,en,modidisasterforindia modisfailedforeignpolicy day3 stoprussianaggression listen careless modiji zoo_bear,_
2044,2044,26/02/2022,02:47:25,misinterpretationyou thing btw happened covid19 anyway 🧐😷 covid bidenisadisgrace corona covid_19 pandemic northkorea iran americafirst israel istandwithisrael,en,misinterpretationyou thing btw happened covid19 anyway 🧐😷 covid bidenisadisgrace corona covid_19 pandemic northkorea iran americafirst israel istandwithisrael,_
2045,2045,26/02/2022,02:47:21,circumstances happening remind gazakashmirand syriatheir sobs separation individuals loved oneswomen widowedorphaning innocent childrenif dont end end unitednations,en,circumstances happening remind gazakashmirand syriatheir sobs separation individuals loved oneswomen widowedorphaning innocent childrenif dont end end unitednations,_
2046,2046,26/02/2022,02:47:21,stone island wearers stand counted isnt,en,stone island wearers stand counted isnt,_
2047,2047,26/02/2022,02:46:55,satans children ruled wealthy satanic psychotic elite via amazon nuclearweapons kremlin,en,satans children ruled wealthy satanic psychotic elite via amazon nuclearweapons kremlin,_
2048,2048,26/02/2022,02:46:20,putins lead nuclearwar 💥 💥,en,putins lead nuclearwar 💥 💥,_
