,tweet,parse
1474,"@goliveros No equivocó dijo primero pobres así parte afectada virus , quitar Gatell seguir políticas erróneas .por escribo equivocó . Tampoco equivocó liberar agua presa zonas marginales.","@goliveros No equivocó dijo primero pobres así parte afectada virus , quitar Gatell seguir políticas erróneas .por escribo equivocó . Tampoco equivocó liberar agua presa zonas marginales."
1475,"El secretario Salud Jorge Alcocer subsecretario Hugo López-Gatell, hecho ""un trabajo extraordinario"", dice presidente. Todo culpa gobiernos pasados adversarios 😐 Chingue madre falta empatía. Así clarito todas letras señor.","El secretario Salud Jorge Alcocer subsecretario Hugo López-Gatell, hecho ""un trabajo extraordinario"", dice presidente. Todo culpa gobiernos pasados adversarios 😐 Chingue madre falta empatía. Así clarito todas letras señor."
1476,"@MuySuFrida Tremendo !!!! “y doctor Hugo López-Gatell, subsecretario Salud, hechos prácticamente secretario gladiador combate México (por momento, quizá luego haga mundo) pandemia Covid-19.”","@MuySuFrida Tremendo !!!! “y doctor Hugo López-Gatell, subsecretario Salud, hechos prácticamente secretario gladiador combate México (por momento, quizá luego haga mundo) pandemia Covid-19.”"
1477,@HoraGarcij @SergioSarmiento ¡Pobre gobierno! ¡Hombres necios acusais Gatell razón!,@HoraGarcij @SergioSarmiento ¡Pobre gobierno! ¡Hombres necios acusais Gatell razón!
1478,"Cualquier candidato, cualquier colectivo ciudadanos, cualquier ser humano EXIJA López Gatell procesado pase resto días cárcel, total apoyo.","Cualquier candidato, cualquier colectivo ciudadanos, cualquier ser humano EXIJA López Gatell procesado pase resto días cárcel, total apoyo."
1479,@ChumelTorres ¡La culpa Gatell! *Tu pendejo*,@ChumelTorres ¡La culpa Gatell! *Tu pendejo*
1480,"Pobre Gatell, parece viejito peleándose aire. Dirá cifras ahí (realmente vamos 230,000 muertos).","Pobre Gatell, parece viejito peleándose aire. Dirá cifras ahí (realmente vamos 230,000 muertos)."
1481,"@paezvarela 'Uno apóstoles, Hugo López-Gatell, avezado todos, encontrado todas cifras demuestran ineficacia actual Gobierno resulta intrascendentes. ..' La columna FRANCISCO ORTIZ PINCHETTI SinEmbargo","@paezvarela 'Uno apóstoles, Hugo López-Gatell, avezado todos, encontrado todas cifras demuestran ineficacia actual Gobierno resulta intrascendentes. ..' La columna FRANCISCO ORTIZ PINCHETTI SinEmbargo"
1482,@beltrandelrio @HLGatell Que debe YSQ Gatell despide cargo....,@beltrandelrio @HLGatell Que debe YSQ Gatell despide cargo....
1483,"@Radio_Formula @CiroGomezL Supongo japoneses común disciplina, mayoría mexicanos tienen, culpa López Gatell presidente ?","@Radio_Formula @CiroGomezL Supongo japoneses común disciplina, mayoría mexicanos tienen, culpa López Gatell presidente ?"
1484,"Ocupa 8° lugar muertes Covid 19 mundo si consideran datos oficiales presentados López-Gatell cada noche, así tamaño población (fallecimientos cada 100 mil habitantes).","Ocupa 8° lugar muertes Covid 19 mundo si consideran datos oficiales presentados López-Gatell cada noche, así tamaño población (fallecimientos cada 100 mil habitantes)."
1485,"No veieu enfrontar nens 10 anys per qüestions lingüístiques donar raó dreta espanyola? La llengua catalana és pilar cohesió social, reves. Cal professora català exigeixi parlar català i classe castellà parli castellà","No veieu enfrontar nens 10 anys per qüestions lingüístiques donar raó dreta espanyola? La llengua catalana és pilar cohesió social, reves. Cal professora català exigeixi parlar català i classe castellà parli castellà"
1486,"@aracelibs Se enojó....se puso emputao..así dicen rancho...pero siempre culpo demás, ahora resulta partidos oposición provocaron esto...que poca madre...si inútil Gatell paso diciendo usen cubrebocas, sirve sirve..!!","@aracelibs Se enojó....se puso emputao..así dicen rancho...pero siempre culpo demás, ahora resulta partidos oposición provocaron esto...que poca madre...si inútil Gatell paso diciendo usen cubrebocas, sirve sirve..!!"
1487,"@Cesar_M0reno @LeonKrauze Ah, pobrecito Gatell tan incomprendido. Desde marzo diciendo mal, sigue aplaudiendo 250 mil muertos. No bronca.","@Cesar_M0reno @LeonKrauze Ah, pobrecito Gatell tan incomprendido. Desde marzo diciendo mal, sigue aplaudiendo 250 mil muertos. No bronca."
1488,"@HLGatell Dr López-Gatell, Estado Querétaro dicen sistema descompuso den cifras bajas. Que sabe usted respecto. Saludos.","@HLGatell Dr López-Gatell, Estado Querétaro dicen sistema descompuso den cifras bajas. Que sabe usted respecto. Saludos."
1489,"@MarbellaMJ @angelrc1980 @Edgar_EM @proceso Y Muertos Pandemia estan 250,000 300,000 según datos propio Gatell!!! Querian pais para, orden: AMLO Familia AMLO Allegados Incondicionales AMLO Fieles ovedientes AMLO si alcanzaba AMLOVERS Pero alcanzará ellos!","@MarbellaMJ @angelrc1980 @Edgar_EM @proceso Y Muertos Pandemia estan 250,000 300,000 según datos propio Gatell!!! Querian pais para, orden: AMLO Familia AMLO Allegados Incondicionales AMLO Fieles ovedientes AMLO si alcanzaba AMLOVERS Pero alcanzará ellos!"
1490,@maurogranja @lialimon Esa decisión suya. No culpa Gatell. Y verificar si cifra 80% verdadera tantas personas lamentablemente fallecido hospitales proporción total personas ingresado.,@maurogranja @lialimon Esa decisión suya. No culpa Gatell. Y verificar si cifra 80% verdadera tantas personas lamentablemente fallecido hospitales proporción total personas ingresado.
1491,"Hazy #AnLo, noz eztaz matando Gatell, zus kulpaz zon ah nibel mundo mundial","Hazy #AnLo, noz eztaz matando Gatell, zus kulpaz zon ah nibel mundo mundial"
1492,"Cuando persona, Dr. Hugo López Gatell, afirmaba pandemia Covid terminaría 19 abril, entiende evidente estolidez, diga 100 mil muertos Covid cantidad ""inusual"". Vaya tipo. Cae ""como anillo dedo"", estolidez.","Cuando persona, Dr. Hugo López Gatell, afirmaba pandemia Covid terminaría 19 abril, entiende evidente estolidez, diga 100 mil muertos Covid cantidad ""inusual"". Vaya tipo. Cae ""como anillo dedo"", estolidez."
1493,@pmigoya ¿💀Mis primeros 100 mil muertos 💀: L. Gatell?,@pmigoya ¿💀Mis primeros 100 mil muertos 💀: L. Gatell?
1494,"Desayune La Paz tranquilidad 100,000 muertos millón contagiados. López - Gatell","Desayune La Paz tranquilidad 100,000 muertos millón contagiados. López - Gatell"
1495,"@GMonroyEnergy @AreliPaz @lopezobrador_ Yo convencido si mismo López Gatell mismas estrategias, bajo manto EPN Calderón, chairiza tragado vivo.","@GMonroyEnergy @AreliPaz @lopezobrador_ Yo convencido si mismo López Gatell mismas estrategias, bajo manto EPN Calderón, chairiza tragado vivo."
1496,Si pues culpa gatell gente fiestas🤣,Si pues culpa gatell gente fiestas🤣
1497,"@Enea_Salgado @SGarciaSoto Somos responsables ciudadanos , industriales alimentos chatarra , gobiernos permitir tipo alimentación ciudadanía , medios comunicación hacer ético ... así solo Dr. Gatell","@Enea_Salgado @SGarciaSoto Somos responsables ciudadanos , industriales alimentos chatarra , gobiernos permitir tipo alimentación ciudadanía , medios comunicación hacer ético ... así solo Dr. Gatell"
1498,El gobierno da noticia México superó 100 MIL muertos #Covid19 oficialmente. Hasta @HLGatell MIENTE. Otros si especialistas calculan pasaron 200 MIL fallecidos. #Gatell insumos hospitales.,El gobierno da noticia México superó 100 MIL muertos #Covid19 oficialmente. Hasta @HLGatell MIENTE. Otros si especialistas calculan pasaron 200 MIL fallecidos. #Gatell insumos hospitales.
1499,"@Pamelita0321 Pam, deseo pronta recuperación, hombre 77 años sigo recomendaciones diarias Dr López-Gatell sea, cuido, podrías decir si idea cómo contagiarte.","@Pamelita0321 Pam, deseo pronta recuperación, hombre 77 años sigo recomendaciones diarias Dr López-Gatell sea, cuido, podrías decir si idea cómo contagiarte."
1500,Muertes COVID-19 México representan cifra inusual: López-Gatell,Muertes COVID-19 México representan cifra inusual: López-Gatell
1501,"@goliveros @vinymodee Tenemos gobierno gobernate vengantivo caprichoso , politicos subordinados sr. gatell miedosos cuidan puesto , acabo corrupción toda medida opcional ,no profesionales mismo politico siempre","@goliveros @vinymodee Tenemos gobierno gobernate vengantivo caprichoso , politicos subordinados sr. gatell miedosos cuidan puesto , acabo corrupción toda medida opcional ,no profesionales mismo politico siempre"
1502,"“Muchas gracias. Ya 100,000”. —Gatell. #GatellAsesino","“Muchas gracias. Ya 100,000”. —Gatell. #GatellAsesino"
1503,"Gatell razón declaraciones. El alarmismo ayuda nada, además claramente ve estrategia miedo genuina preocupación salud población. Dejen ser tontos útiles! hoy importa, años...","Gatell razón declaraciones. El alarmismo ayuda nada, además claramente ve estrategia miedo genuina preocupación salud población. Dejen ser tontos útiles! hoy importa, años..."
1504,"@Jox2009 @El_Universal_Mx Ah caray osea si contagio culpa Gatell? No sabía, gracias dato","@Jox2009 @El_Universal_Mx Ah caray osea si contagio culpa Gatell? No sabía, gracias dato"
1505,"Correcto, @HernanGomezB , aunque cierto q Gatell facultad obligar aerolíneas (y cualquier prestadora servicios) adoptar medidas estrictas mencionas...o no?","Correcto, @HernanGomezB , aunque cierto q Gatell facultad obligar aerolíneas (y cualquier prestadora servicios) adoptar medidas estrictas mencionas...o no?"
1506,"@krizzalid @NachoRgz Y sirve plan funcionando, llegamos escenario catastrófico mismo planteo, 70000 muertos debió buscar nuevas soluciones. No pasa Gatell complacer presidente primero vale madre pandemia.","@krizzalid @NachoRgz Y sirve plan funcionando, llegamos escenario catastrófico mismo planteo, 70000 muertos debió buscar nuevas soluciones. No pasa Gatell complacer presidente primero vale madre pandemia."
1507,"@RicardoAlemanMx @PEPECONTRERAS_M 1/2 Mas 100,000 muertos. En México, culpa AMLO Dr. Muerte Gatell, diario infectan mas 4500 personas, cada día mueren mas 500. Para ejemplo manejo correcto, Nueva Zelanda: lleva 25 muertos toda pandemia, último falleció 17 septiembre","@RicardoAlemanMx @PEPECONTRERAS_M 1/2 Mas 100,000 muertos. En México, culpa AMLO Dr. Muerte Gatell, diario infectan mas 4500 personas, cada día mueren mas 500. Para ejemplo manejo correcto, Nueva Zelanda: lleva 25 muertos toda pandemia, último falleció 17 septiembre"
1508,@asilascosasw @JTejado @WRADIOMexico @warkentin @jrisco Cierto. Hay total falta autocrítica señor presidente ilusionista López Gatell. El enojo explica pone frente incompetencia. Y código QR donaciones centavos compras: piden rechazan.,@asilascosasw @JTejado @WRADIOMexico @warkentin @jrisco Cierto. Hay total falta autocrítica señor presidente ilusionista López Gatell. El enojo explica pone frente incompetencia. Y código QR donaciones centavos compras: piden rechazan.
1509,Mientras Presidente anda defensa Gatell pleito España:,Mientras Presidente anda defensa Gatell pleito España:
