date,tweet,language,hashtags
2022-02-24,"@RepValDemings Sing  Loosely translated as: ""don't cry for me when I die in a battle."" 💔  #Ukraine 🇺🇦  https://t.co/6sgWOWYSpz",en,['ukraine']
2022-02-24,"👀 Honestly, round them up!  -#Ukraine",en,['ukraine']
2022-02-24,@DavidYankovich @quinncy I wouldn't be surprised.   Russians don't want #PutinsWar in #Ukraine. Many Russians and Ukrainians live in each other's countries. They have friends and family members from the other country.,en,"['putinswar', 'ukraine']"
2022-02-24,Where do you expect us to go when the bombs fall?  #NotToWar  #Ukraine  #RussiaUkraineConflict  #peace,en,"['nottowar', 'ukraine', 'russiaukraineconflict', 'peace']"
2022-02-24,Christians singing praise to Jesus Christ while sheltering inside a subway station in Kiev.   #Russia #Ukraine #Kiev #Kyiv #subwaystation #UkraineRussiaCrisis #Ukraine #Ukrain #UkraineUnderAttack  https://t.co/96BTLpT0yM,en,"['russia', 'ukraine', 'kiev', 'kyiv', 'subwaystation', 'ukrainerussiacrisis', 'ukraine', 'ukrain', 'ukraineunderattack']"
2022-02-24,Update: Ukraine just shot down a Russian plane over Kyiv. #RussiaUkraineConflict #Ukraine  https://t.co/5gQXPoC5L1,en,"['russiaukraineconflict', 'ukraine']"
2022-02-24,#ukrainebreakingnews  Air sirens in #Vinnytsia west of #Ukraine and residents are asked to go to shelters immediately.,en,"['ukrainebreakingnews', 'vinnytsia', 'ukraine']"
2022-02-24,"Can someone clear this up for me, because maybe I don’t fully understand. Were we not producing enough oil and natural gas at the end of the #trump presidency to be energy independent? #Ukraine #Russia #Biden",en,"['trump', 'ukraine', 'russia', 'biden']"
2022-02-24,"Pt1.. Let's not forget that this act of war was not a ""sudden move"" because Trump is suddenly out of office. #Russia and #Ukraine have been feuding for decades. Even during Stalins reign. Stalin at one time halted all cargo and trade to #Ukraines farmlands. Starving and killing",en,"['russia', 'ukraine', 'ukraines']"
2022-02-24,"#PutinEncirclesKyiv  Ukraine loses control of Chernobyl nuclear site, as per reports   Srinjoy with more   #Russia #Ukraine  https://t.co/b55dKU8WxC",en,"['putinencircleskyiv', 'russia', 'ukraine']"
2022-02-24,"#Ukraine response  ""Do not panic. We are strong. We are ready for anything. We will defeat everyone, because we are Ukraine.""  Volodymyr Zelensky Ukrainian President  https://t.co/EpcRVnXY0e",en,['ukraine']
2022-02-24,"Breaking Ramdas Athawale spoke to #Ukraine and isntructed them to say Go Putin Go, Putin Go.  #WorldWarIII #Russian",en,"['ukraine', 'worldwariii', 'russian']"
2022-02-24,"One card fate Tarot draw for #Ukraine 🇺🇦 🔄 Hanged Man: Positive sign that you can now move forward with a new perspective and a renewed sense of energy. Delays, resistance, vigor and strength in your convictions, you’re ready to go again. #StandWithUkraine  https://t.co/8SCj2s6i47",en,"['ukraine', 'standwithukraine']"
2022-02-24,Putin’s goal to ‘denazify’ #Ukraine  would kill their national identity  --#UkraineInvasion #UkraineRussiaCrisis #Ukraina   https://t.co/agbxPYMGpI,en,"['ukraine', 'ukraineinvasion', 'ukrainerussiacrisis', 'ukraina']"
2022-02-24,"🚨A large object, possibly a missile, was intercepted over the city of Kiev, Ukraine.  #Ukraine #Putin #Biden #russianinvasion  https://t.co/KgBj1uheiB",en,"['ukraine', 'putin', 'biden', 'russianinvasion']"
2022-02-24,Breaking! Air defense UA shot down two ballistic Russian missiles over Kiev.  Just now #Ukraine @POTUS #Genocid,en,"['ukraine', 'genocid']"
2022-02-24,Putin is an enemy to humankind. #Ukraine #StandWithUkraine  https://t.co/RW1sJu8N1p,en,"['ukraine', 'standwithukraine']"
2022-02-24,#Kyiv #Ukraine Thanks be to God for air defense systems 🙏💙🇺🇦💛,en,"['kyiv', 'ukraine']"
2022-02-24,"The world needs Trump more than ever.  @JoeBiden man you are totaly unworthy of your title "" PRESIDENT ""  #Ukraine #UkraineRussiaCrisis #Russian #Putin #RussiaInvadesUkraine  https://t.co/TB5TFUOSVV",en,"['ukraine', 'ukrainerussiacrisis', 'russian', 'putin', 'russiainvadesukraine']"
2022-02-24,"Lesson to be learned from #Ukraine. When chips are down, you will be left alone to fight ur own war. They all promised Ukraine security to give up 3rd largest nukes. See where r they now ? Germany and Itlay choose Oil and Gas from SWIFT-Russia than Ukraine, . Beware India",en,['ukraine']
2022-02-24,Worst case scenario is the leak worsens and radioactive fumes leak into thr atmosphere.  This would be a good thing for #Ukraine as the northerly winds would blow that radiation directly over Moscow and St Petersburg.  https://t.co/98vCTwQOKD,en,['ukraine']
2022-02-24,"I stand with #Ukraine, with @POTUS and with #NATO anyone who doesn’t is watching #FoxAndFriends and believes that stuff …. Don’t just walk, run away from #Trump and the #rightwing NOW",en,"['ukraine', 'nato', 'foxandfriends', 'trump', 'rightwing']"
2022-02-24,Call me Josephine cz I’m about to go in an all women’s prison by claiming the other gender if that happens. #AllYouCanEat   #Ukraine  #RussiaUkraineConflict  #russianinvasion  #UkraineRussiaCrisis  #RussiaInvadesUkraine  #UkraineUnderAttack  https://t.co/UDHOBdKEGO,en,"['allyoucaneat', 'ukraine', 'russiaukraineconflict', 'russianinvasion', 'ukrainerussiacrisis', 'russiainvadesukraine', 'ukraineunderattack']"
2022-02-24,"Seems whatever was shot down was relatively big in Kyiv, #Ukraine. It looks like the ""wreck"" landed near/in a residential area.  https://t.co/5VeKhcmCpG",en,['ukraine']
2022-02-24,Putin!! In your face!!! #PrayForUkraine #Fifa2022 #Ukraine #Україна  https://t.co/wmlv9HBFj1,en,"['prayforukraine', 'fifa2022', 'ukraine', 'україна']"
2022-02-24,It must be some major cognitive dissonance for Right-Wingers who claim to be the “Party of Reagan” and back Russia in anything.  Hypocrites. Liars. Losers. #Ukraine,en,['ukraine']
2022-02-24,Right now in KYEV #ukraine #russia #live  https://t.co/o1HwbFB0UZ,en,"['ukraine', 'russia', 'live']"
2022-02-24,Great thread on why #Ukraine military and national morale might be enough to compensate for the discrepancy in forces and to fend off #russianinvasion.,en,"['ukraine', 'russianinvasion']"
2022-02-24,A Picture is worth a thousand words.#Ukraine #Ukrainian #UkraineInvasion #RussiaUkraineConflict #russianinvasion #RussiaUkraineCrisis #Ukraine #UkraineRussia  https://t.co/lRXEcaXrnF,en,"['ukraine', 'ukrainian', 'ukraineinvasion', 'russiaukraineconflict', 'russianinvasion', 'russiaukrainecrisis', 'ukraine', 'ukrainerussia']"
2022-02-24,Heartbroken and praying for #Ukraine 🇺🇦💙💛,en,['ukraine']
2022-02-24,War is old man talking and young man dying.  - Troy Movie. #Ukraine #RussiaUkraineConflict,en,"['ukraine', 'russiaukraineconflict']"
2022-02-24,"@POTUS The world, particularly #NATO and the #UN sit and watch as Putin sets out to destroy #Ukraine. #Putin laughs at sanctions. We must defend Ukraine against this bully.",en,"['nato', 'un', 'ukraine', 'putin']"
2022-02-24,The day after Russia attacked the #Ukraine #JoyBehar said that she's scared this could interfere with her planned vacation to Italy.  Word is Webster's will put Behar's mug shot next to the word 'callous' so people will get a clear 'picture' of the word.  https://t.co/hUXhRnHvI9,en,"['ukraine', 'joybehar']"
2022-02-24,"In #Kyiv there are #Explosions and the #people now wonder the streets, a #Humanitarian crisis has now begun. #Russia #Ukraine #Serbia #Crimea #Croatia #Armenia #Azerbaijan #Canada  https://t.co/oDLS5Ws61Q",en,"['kyiv', 'explosions', 'people', 'humanitarian', 'russia', 'ukraine', 'serbia', 'crimea', 'croatia', 'armenia', 'azerbaijan', 'canada']"
2022-02-24,"To my foreign friends. As you probably already know, terroRussia started a full-scale military operation against my beloved #Ukraine.  #war #Biden #RussiaUkraineConflict",en,"['ukraine', 'war', 'biden', 'russiaukraineconflict']"
2022-02-24,Pakistani students are stuck in #Ukraine &amp; they are crying for immediate help &amp; evacuation from #UkraineWar  Pakistan Embassy failed them there! @ForeignOfficePk @SMQureshiPTI  #UkraineInvasion,en,"['ukraine', 'ukrainewar', 'ukraineinvasion']"
2022-02-24,"Craziest part of the #Russia invading #Ukraine story, is when I go to watch the live video feed on @YouTube , they show me a commercial first for hotdogs…Go figure, I don’t even eat hotdogs. Fix your #Algorithms you insensitive Bitch!",en,"['russia', 'ukraine', 'algorithms']"
2022-02-24,"Isn't it a coincidence The Young Turks &amp; Cenk are defending Putin when they're also the same people who cast @AOC &amp; tried to convince America she wasn't a manufactured politician?  We're in a bad way, u need to research where @AOC came from- bc it's not from some bar. #Ukraine",en,['ukraine']
2022-02-24,Let us follow each other and help #Ukraine🙏🙏🙏 #RussiaUkraineConflict #Putin #NFTs,en,"['ukraine', 'russiaukraineconflict', 'putin', 'nfts']"
2022-02-24,"Don’t forget that #Russia is not alone in this disgusting attack on #Ukraine. #Belarus, under it’s dictator, Alexander #Lukashenko is every bit complicit. Belarus should be targeted for severe #sanctions as well. #Swift  https://t.co/5w9cHteUAd",en,"['russia', 'ukraine', 'belarus', 'lukashenko', 'sanctions', 'swift']"
2022-02-24,🚨 another video of the blast over #ukraine  Looks like the Ukrainian military has shot something big down..  https://t.co/75BSU4GkQL,en,['ukraine']
2022-02-24,"US dials up India, seeks support for collective response against Russia #AntonyBlinken #Russia #russiaukraineconflict #russiaukrainecrisis #SJaishankar #ukraine  https://t.co/yt1lJQ6erY  https://t.co/4oMWMjWHPP",en,"['antonyblinken', 'russia', 'russiaukraineconflict', 'russiaukrainecrisis', 'sjaishankar', 'ukraine']"
2022-02-24,Angelina Jolie's new Instagram post  #Ukraine #Russia  #UNHCR #RefugeesNeedHelp #AngelinaJolie @Refugees  https://t.co/EIZsZD0CdN,en,"['ukraine', 'russia', 'unhcr', 'refugeesneedhelp', 'angelinajolie']"
2022-02-24,"This isn't about America. Shut the f*CK up. I'm so sick of ""people cope with trauma differently"". THIS ISN'T YOUR TRAUMA. Stop making jokes. Stop pushing sympathy from Ukrainians onto yourself to gain views.   #Ukraine #PrayingForUkraine  https://t.co/j7Ecj8HNpm",en,"['ukraine', 'prayingforukraine']"
2022-02-24,#Ukraine is very concerned about all countrys and afcourse about America  @JoeBiden is worst Prime minister of America shameless man,en,['ukraine']
2022-02-24,Amazing. The courage and just the level of badass you have to possess to tell an invading navy to go f themselves is impressive. I'm sure they will be remembered for a long long time. #Ukraine,en,['ukraine']
2022-02-24,"@IAPonomarenko We are with you #Ukraine ❤️ Love from Florida, US.",en,['ukraine']
2022-02-24,"If the worst happens and there is a world war, in deference to EQUITY which liberals care so much about the military draft of 18-30 yr olds must have no deferments/exemptions. Everybody is in the lottery, no phony 'medical/psychological' disorders.  #Ukraine #Biden #Democrats",en,"['ukraine', 'biden', 'democrats']"
2022-02-24,More footage of the contact of #Ukrainian AD missiles and #Russian Sukhoi missiles in #Kiev 🚨  #Breaking #Russia #Ukraine  https://t.co/QYlmKTtPXA,en,"['ukrainian', 'russian', 'kiev', 'breaking', 'russia', 'ukraine']"
2022-02-24,Photo of a wreckage in #Kyiv #Ukraine   //  Foto de escombros en #Kyiv #Ucrania  https://t.co/78ejqX0CCI,en,"['kyiv', 'ukraine', 'kyiv', 'ucrania']"
2022-02-24,Putin isn't destroying the world. Neoliberals are. #Ukraine #WorldWarIII #capitalism #imperialism,en,"['ukraine', 'worldwariii', 'capitalism', 'imperialism']"
2022-02-24,#Kyiv #Ukraine now. Russians are bombarding the capital. Reportedly a Russian aircraft (possibly a drone) was shot down over a residential area.  https://t.co/dLxAtRLKT6,en,"['kyiv', 'ukraine']"
2022-02-24,"#PutinIsaWarCriminal #PutinWillLose #Ukraine #UkraineRussiaConflict  Ukraines military says it has DESTROYED 30 tanks, 5 planes and 6 helicopters belonging to Russia in first day of fighting  The Russians abandon their dead soldiers and retreat.  https://t.co/W5JM33npLC",en,"['putinisawarcriminal', 'putinwilllose', 'ukraine', 'ukrainerussiaconflict']"
2022-02-24,EXPLOSIONS IN UKRAINE ARE HORRIFYING 😭 #UkraineRussiaConflict #Russia #Ukraine,en,"['ukrainerussiaconflict', 'russia', 'ukraine']"
2022-02-24,@EmmanuelMacron HELP UKRAINE NATO!!! #HELP #UKRAINE #NATO!!!,en,"['help', 'ukraine', 'nato']"
2022-02-24,@POTUS is sitting in room eating ice cream asking questions about how the 1959 @Yankees did…This brain dead dolt should step aside immediately….#Ukraine,en,['ukraine']
2022-02-24,#Ukraine #WWIII Pray for peacekeeping.,en,"['ukraine', 'wwiii']"
2022-02-24,This world is virtual reality  If you want to change the reality  There is no choice but to change people's consciousness  The law that thinking becomes reality  Stupidity to focus on things that are in trouble  #Ukraine #war #earthquake  https://t.co/oD3S4dr6We,en,"['ukraine', 'war', 'earthquake']"
2022-02-24,"BREAKING: KyivHas been bombed when will the Russian government stop Small Towns, Airports, Hospitals and now The Capital #Ukraine #Kyiv #Russia #RussiaUkraineConflict #fuckrussia",en,"['ukraine', 'kyiv', 'russia', 'russiaukraineconflict', 'fuckrussia']"
2022-02-25,"#ECB’s Lagarde tells me it’s premature to change the path of policy normalization, but central bank will do whatever is needed to ensure price stability, following #Ukraine invasion and #Russia sanctions @ecb @business @markets @Europe2022FR  https://t.co/7T9aRKZ94C",en,"['ecb', 'ukraine', 'russia']"
2022-02-25,Seems she is loosing focus at this point   #Ukraine  https://t.co/D0YCt4ccYu,en,['ukraine']
2022-02-25,#Ukrainians ask #NATO to bring their forces to #Ukraine ❗️ At least to close the sky. To give shelter from the sky 🙏🏻 And #CutoffRussiafromSWIFT,en,"['ukrainians', 'nato', 'ukraine', 'cutoffrussiafromswift']"
2022-02-25,"Palestinian girl cries in fear of death. We've been through all of that, and the world had been silent.  Sympathy for our suffering as well.   #Putin #Russia #Russie #Ukraine #Palestine #UkraineConflict #UkraineRussiaConflict #URGENT #USA #NATO #RussiaUkraineConflict #worldwar3  https://t.co/vuwP4tS06H",en,"['putin', 'russia', 'russie', 'ukraine', 'palestine', 'ukraineconflict', 'ukrainerussiaconflict', 'urgent', 'usa', 'nato', 'russiaukraineconflict', 'worldwar3']"
2022-02-25,BULL SHIT #TrumpIsARussianAsset declared @NATO Dead. Rolled Over In #Helsinki. Extorted #Ukraine. Got #Impeached. #GOPBetrayedAmerica @HouseGOP @ArkansasOnline,en,"['trumpisarussianasset', 'helsinki', 'ukraine', 'impeached', 'gopbetrayedamerica']"
2022-02-25,"#Ukraine invasion: #UK troops will not fight against Russia says Wallace - ⁦@BritishArmy⁩ is frightened of the Russians, say @BWallaceMP   https://t.co/lAZNs0Wu9D",en,"['ukraine', 'uk']"
2022-02-25,Finally Indian students exit from #Ukraine  https://t.co/TtCXwuTj0w,en,['ukraine']
2022-02-25,I disagree. #PutinIsNotAWarCriminal. Tell the world the truth there will be peace. Too many lies to defend so many interests is the reason the world is in turmoil today.  This war can be  averted if we can be bold to say the truth not minding who it disfavors. #Russia #Ukraine,en,"['putinisnotawarcriminal', 'russia', 'ukraine']"
2022-02-25,because i can't relate #Ukraine #UkraineInvasion,en,"['ukraine', 'ukraineinvasion']"
2022-02-25,#China opposes 'illegal' sanctions on #Russia over #Ukraine #etribune   https://t.co/9m1Qd1yedJ  https://t.co/Sim9QW5LGi,en,"['china', 'russia', 'ukraine', 'etribune']"
2022-02-25,Dombrovskis says Commission will investigate whether Gazprom's actions do not amount to market manipulation #Ukraine #Russia #Putin,en,"['ukraine', 'russia', 'putin']"
2022-02-25,"We in the United States could take some major fucking lessons from #Ukraine about national identity and national responsibility.  Oh, and moral fortitude and courage should also be added to the mix, something the Ukrainian people obviously have in abundance. #StandWithUkraine",en,"['ukraine', 'standwithukraine']"
